CURRENT PLAYERS	PEAK TODAY	 	GAME
 
715,417	912,918	 	Dota 2
588,823	784,037	 	PLAYERUNKNOWN'S BATTLEGROUNDS
334,835	574,208	 	Counter-Strike: Global Offensive
61,749	83,937	 	Grand Theft Auto V
58,756	93,383	 	Tom Clancy's Rainbow Six Siege
56,202	73,608	 	Warframe
41,522	49,762	 	Team Fortress 2
33,918	57,038	 	Football Manager 2019
28,782	42,918	 	Rust
28,255	56,611	 	Path of Exile
27,491	38,693	 	ARK: Survival Evolved
22,936	34,777	 	Sid Meier's Civilization VI
17,948	27,808	 	MONSTER HUNTER: WORLD
16,480	33,399	 	Garry's Mod
15,845	26,358	 	Sid Meier's Civilization V
15,461	23,512	 	Dead by Daylight
15,033	19,396	 	NBA 2K19
14,126	21,841	 	Total War: WARHAMMER II
14,077	49,671	 	Rocket League
13,454	15,306	 	Black Desert Online
12,875	25,618	 	Euro Truck Simulator 2
12,358	23,699	 	Hearts of Iron IV
11,126	17,706	 	Terraria
10,910	16,022	 	Ring of Elysium
10,254	17,761	 	War Thunder
10,020	11,494	 	Wallpaper Engine
9,998	13,787	 	Stardew Valley
9,745	16,680	 	World of Tanks Blitz
9,261	13,884	 	Devil May Cry 5
9,074	17,275	 	Counter-Strike
9,045	12,397	 	Unturned
9,000	12,647	 	The Witcher 3: Wild Hunt
8,872	20,215	 	Arma 3
8,462	17,099	 	Europa Universalis IV
8,396	11,674	 	RimWorld
8,336	15,260	 	The Elder Scrolls Online
8,062	25,273	 	Source SDK Base 2013 Multiplayer
8,047	14,010	 	Fallout 4
7,918	10,694	 	PAYDAY 2
7,695	13,979	 	Factorio
7,477	10,831	 	Cities: Skylines
7,410	11,287	 	Football Manager 2018
7,242	13,177	 	The Elder Scrolls V: Skyrim Special Edition
7,124	10,233	 	DARK SOULS™ III
6,872	9,456	 	Assassin's Creed Odyssey
6,767	15,420	 	Paladins
6,604	13,223	 	Conan Exiles
6,560	10,040	 	Left 4 Dead 2
6,416	11,876	 	The Elder Scrolls V: Skyrim
6,205	10,219	 	Stellaris
6,087	11,574	 	Age of Empires II: HD Edition
6,014	7,321	 	Slay the Spire
5,936	10,097	 	Spacewar
5,744	10,291	 	Borderlands 2
5,559	8,092	 	Don't Starve Together
5,388	9,650	 	7 Days to Die
5,192	8,724	 	Yu-Gi-Oh! Duel Links
5,142	6,626	 	Kenshi
5,141	11,626	 	FINAL FANTASY XIV Online
5,052	7,178	 	隐形守护者 The Invisible Guardian
5,046	11,720	 	Space Engineers
4,996	8,472	 	Mount & Blade: Warband
4,981	12,189	 	Farming Simulator 19
4,870	5,759	 	Shadowverse
4,832	6,848	 	The Binding of Isaac: Rebirth
4,609	8,695	 	Total War: ROME II - Emperor Edition
4,582	12,567	 	SMITE
4,541	9,278	 	Divinity: Original Sin 2
4,434	4,928	 	Idle Champions of the Forgotten Realms
4,360	6,725	 	VRChat
4,347	6,808	 	Company of Heroes 2
4,206	5,439	 	World of Warships
4,174	6,388	 	Killing Floor 2
3,693	7,646	 	DayZ
3,687	10,287	 	Brawlhalla
3,582	6,795	 	For Honor
3,523	5,441	 	Z1 Battle Royale
3,522	7,524	 	Crusader Kings II
3,503	6,323	 	Counter-Strike: Source
3,262	5,123	 	Football Manager 2017
3,163	4,094	 	Grim Dawn
2,971	2,971	 	Dragon Cliff 龙崖
2,896	3,620	 	Oxygen Not Included
2,878	5,083	 	Crossout
2,833	3,817	 	PRO EVOLUTION SOCCER 2019
2,822	3,788	 	Black Squad
2,780	4,975	 	The Forest
2,751	4,205	 	The Sims(TM) 3
2,719	5,738	 	Warhammer: Vermintide 2
2,706	4,332	 	Heroes & Generals
2,614	3,490	 	太吾绘卷 The Scroll Of Taiwu
2,602	3,267	 	Russian Fishing 4
2,576	3,688	 	Dying Light
2,572	3,150	 	TEKKEN 7
2,541	4,537	 	XCOM 2
2,523	3,592	 	Total War: SHOGUN 2
2,497	2,565	 	Frostpunk
2,488	3,214	 	NBA 2K18
2,477	4,409	 	Two Point Hospital
2,473	3,224	 	Tom Clancy's Ghost Recon® Wildlands

